isogroup gene annotation,
TRINITY_DN2283_c0_g1,E3 ubiquitin-protein ligase RNF8 OS=Bos taurus GN=RNF8 PE=2 SV=1 E(blastx)=4e-11
TRINITY_DN13805_c0_g1,Rho-associated protein kinase 2 OS=Mus musculus GN=Rock2 PE=1 SV=1 E(blastx)=4e-06
TRINITY_DN15261_c0_g1,Tubulin alpha-3E chain OS=Homo sapiens GN=TUBA3E PE=1 SV=2 E(blastx)=3e-53
TRINITY_DN33737_c0_g1,Serendipity locus protein delta OS=Drosophila melanogaster GN=Sry-delta PE=1 SV=2 E(blastx)=5e-05
TRINITY_DN28287_c0_g1,Girdin OS=Homo sapiens GN=CCDC88A PE=1 SV=2 E(blastx)=1e-05
TRINITY_DN27874_c0_g1,Chitotriosidase-1 OS=Homo sapiens GN=CHIT1 PE=1 SV=1 E(blastx)=5e-05
TRINITY_DN5088_c0_g1,26S proteasome non-ATPase regulatory subunit 12 OS=Mus musculus GN=Psmd12 PE=1 SV=4 E(blastx)=5e-27
TRINITY_DN29803_c0_g1,60S ribosomal protein L21 (Fragment) OS=Sus scrofa GN=RPL21 PE=2 SV=2 E(blastx)=4e-16
TRINITY_DN9292_c0_g1,Collectin-43 OS=Bos taurus GN=CL43 PE=1 SV=2 E(blastx)=2e-05
TRINITY_DN32452_c0_g1,Proteasome subunit alpha type-7-like OS=Mus musculus GN=Psma8 PE=1 SV=1 E(blastx)=1e-33
TRINITY_DN29213_c0_g1,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2 E(blastx)=7e-05
TRINITY_DN31566_c0_g1,Tubulin-folding cofactor B OS=Bos taurus GN=TBCB PE=2 SV=1 E(blastx)=3e-31
TRINITY_DN16398_c0_g1,FAS-associated factor 1 OS=Homo sapiens GN=FAF1 PE=1 SV=2 E(blastx)=4e-16
TRINITY_DN32832_c0_g1,"Glyceraldehyde-3-phosphate dehydrogenase 1, cytosolic OS=Hordeum vulgare GN=GAPC PE=2 SV=1 E(blastx)=3e-39"
TRINITY_DN11995_c0_g1,RING finger protein 113A OS=Homo sapiens GN=RNF113A PE=1 SV=1 E(blastx)=2e-29
TRINITY_DN769_c0_g1,Photosystem I reaction center subunit II OS=Gloeobacter violaceus (strain PCC 7421) GN=psaD PE=1 SV=1 E(blastx)=7e-05
TRINITY_DN5934_c0_g1,Heterogeneous nuclear ribonucleoprotein A1 OS=Macaca mulatta GN=HNRNPA1 PE=2 SV=3 E(blastx)=5e-32
TRINITY_DN4234_c0_g1,Obscurin OS=Homo sapiens GN=OBSCN PE=1 SV=3 E(blastx)=3e-05
TRINITY_DN32060_c0_g1,Ethylene-responsive proteinase inhibitor 1 OS=Solanum lycopersicum PE=3 SV=1 E(blastx)=2e-14
TRINITY_DN7719_c0_g1,DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A PE=1 SV=3 E(blastx)=4e-30
TRINITY_DN9268_c0_g1,Elongation factor 1-beta OS=Oryctolagus cuniculus GN=EEF1B PE=1 SV=2 E(blastx)=7e-27
TRINITY_DN28388_c0_g1,Chromatin complexes subunit BAP18 OS=Mus musculus GN=Bap18 PE=1 SV=1 E(blastx)=3e-05
TRINITY_DN31646_c0_g1,Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus GN=Eif4g1 PE=1 SV=1 E(blastx)=2e-21
TRINITY_DN34531_c0_g1,TAR DNA-binding protein 43 OS=Pongo abelii GN=TARDBP PE=2 SV=1 E(blastx)=2e-09
TRINITY_DN2610_c0_g1,tRNA:m(4)X modification enzyme TRM13 homolog OS=Mus musculus GN=Trmt13 PE=2 SV=1 E(blastx)=4e-08
TRINITY_DN38178_c0_g1,Myelin expression factor 2 OS=Mus musculus GN=Myef2 PE=1 SV=1 E(blastx)=1e-09
TRINITY_DN28736_c0_g1,Afadin OS=Homo sapiens GN=AFDN PE=1 SV=3 E(blastx)=2e-26
TRINITY_DN12643_c0_g1,Retinal dehydrogenase 1 OS=Gallus gallus GN=ALDH1A1 PE=2 SV=1 E(blastx)=1e-10
TRINITY_DN25964_c0_g2,Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens GN=HNRNPL PE=1 SV=2 E(blastx)=6e-12
TRINITY_DN39468_c0_g1,Probable rRNA-processing protein EBP2 OS=Xenopus laevis GN=ebna1bp2 PE=2 SV=1 E(blastx)=2e-23
TRINITY_DN18779_c0_g1,tRNA (guanine-N(1)-)-methyltransferase OS=Mycoplasma mobile (strain ATCC 43663 / 163K / NCTC 11711) GN=trmD PE=3 SV=1 E(blastx)=3e-58
TRINITY_DN349_c0_g1,60S ribosomal protein L4-B OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=rpl401 PE=3 SV=1 E(blastx)=4e-11
TRINITY_DN34693_c0_g1,F-box/WD repeat-containing protein 11 OS=Mus musculus GN=Fbxw11 PE=1 SV=1 E(blastx)=4e-37
TRINITY_DN34920_c0_g1,"Lon protease homolog, mitochondrial OS=Mus musculus GN=Lonp1 PE=1 SV=2 E(blastx)=4e-29"
TRINITY_DN31248_c0_g1,"Methyltransferase-like protein 17, mitochondrial OS=Mus musculus GN=Mettl17 PE=2 SV=2 E(blastx)=2e-07"
TRINITY_DN16223_c0_g1,Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1 E(blastx)=2e-09
TRINITY_DN31637_c0_g1,Calcium load-activated calcium channel OS=Danio rerio GN=tmco1 PE=2 SV=1 E(blastx)=1e-13
TRINITY_DN14738_c0_g1,DnaJ homolog subfamily C member 7 OS=Homo sapiens GN=DNAJC7 PE=1 SV=2 E(blastx)=6e-48
TRINITY_DN27038_c0_g1,Eukaryotic translation initiation factor 4E-binding protein 2 OS=Homo sapiens GN=EIF4EBP2 PE=1 SV=1 E(blastx)=1e-15
TRINITY_DN30929_c0_g1,V-type proton ATPase subunit G OS=Manduca sexta PE=3 SV=1 E(blastx)=1e-08
TRINITY_DN32677_c0_g1,Ubiquitin-40S ribosomal protein S27a-2 OS=Arabidopsis thaliana GN=RPS27AB PE=2 SV=2 E(blastx)=6e-12
TRINITY_DN34360_c0_g1,Transcription initiation factor TFIID subunit 1 OS=Mus musculus GN=Taf1 PE=1 SV=2 E(blastx)=3e-15
TRINITY_DN16890_c0_g1,Zinc finger SWIM domain-containing protein 8 OS=Homo sapiens GN=ZSWIM8 PE=1 SV=1 E(blastx)=5e-09
TRINITY_DN31839_c0_g1,Intraflagellar transport protein 74 homolog OS=Homo sapiens GN=IFT74 PE=1 SV=1 E(blastx)=3e-11
TRINITY_DN15032_c0_g1,40S ribosomal protein S15 OS=Bos taurus GN=RPS15 PE=2 SV=3 E(blastx)=4e-47
TRINITY_DN4600_c0_g1,T-complex protein 1 subunit epsilon OS=Caenorhabditis elegans GN=cct-5 PE=2 SV=1 E(blastx)=1e-13
TRINITY_DN12212_c0_g1,Glucosidase 2 subunit beta OS=Mus musculus GN=Prkcsh PE=1 SV=1 E(blastx)=1e-08
TRINITY_DN38384_c0_g1,Neuronal calcium sensor 1 OS=Lymnaea stagnalis PE=2 SV=2 E(blastx)=3e-39
TRINITY_DN32874_c0_g1,Fumarylacetoacetate hydrolase domain-containing protein 2 OS=Xenopus laevis GN=fahd2 PE=2 SV=1 E(blastx)=3e-20
TRINITY_DN26022_c0_g1,Conotoxin Cl14.12 OS=Conus californicus PE=3 SV=1 E(blastx)=4e-06
TRINITY_DN25944_c0_g1,40S ribosomal protein S2 OS=Rattus norvegicus GN=Rps2 PE=1 SV=1 E(blastx)=1e-23
TRINITY_DN22536_c0_g1,Mediator of RNA polymerase II transcription subunit 12 OS=Danio rerio GN=med12 PE=2 SV=1 E(blastx)=7e-06
TRINITY_DN13795_c0_g1,Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 4 (Fragment) OS=Nasonia vitripennis PE=4 SV=1 E(blastx)=1e-08
TRINITY_DN1509_c0_g1,60S ribosomal protein L21 OS=Chinchilla lanigera GN=RPL21 PE=2 SV=3 E(blastx)=4e-13
TRINITY_DN33793_c0_g1,LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1 E(blastx)=4e-09
TRINITY_DN39902_c0_g1,UPF0047 protein YjbQ OS=Escherichia coli (strain K12) GN=yjbQ PE=3 SV=1 E(blastx)=4e-10
TRINITY_DN7033_c0_g1,Radial spoke head protein 4 homolog A OS=Mus musculus GN=Rsph4a PE=1 SV=2 E(blastx)=1e-21
TRINITY_DN34866_c0_g1,Glycogenin-1 OS=Rattus norvegicus GN=Gyg1 PE=2 SV=4 E(blastx)=1e-06
TRINITY_DN30416_c0_g1,Nucleolar protein 58 OS=Homo sapiens GN=NOP58 PE=1 SV=1 E(blastx)=1e-20
TRINITY_DN13788_c0_g1,Radial spoke head protein 9 homolog OS=Danio rerio GN=rsph9 PE=2 SV=1 E(blastx)=7e-28
TRINITY_DN30170_c0_g1,Protein fantom OS=Homo sapiens GN=RPGRIP1L PE=1 SV=2 E(blastx)=3e-22
TRINITY_DN23015_c0_g1,Zinc finger matrin-type protein 2 OS=Mus musculus GN=Zmat2 PE=2 SV=1 E(blastx)=4e-59
TRINITY_DN6901_c0_g1,Heterogeneous nuclear ribonucleoprotein L OS=Mus musculus GN=Hnrnpl PE=1 SV=2 E(blastx)=2e-30
TRINITY_DN30448_c0_g1,Hyaluronan mediated motility receptor OS=Homo sapiens GN=HMMR PE=1 SV=2 E(blastx)=6e-05
TRINITY_DN23381_c0_g1,Cytochrome c oxidase subunit 6C OS=Trachypithecus cristatus GN=COX6C PE=3 SV=1 E(blastx)=4e-07
TRINITY_DN3481_c0_g1,S-methyl-5'-thioadenosine phosphorylase OS=Ciona intestinalis PE=3 SV=1 E(blastx)=6e-18
TRINITY_DN37225_c0_g1,Eukaryotic translation initiation factor 4E type 2 OS=Homo sapiens GN=EIF4E2 PE=1 SV=1 E(blastx)=3e-34
TRINITY_DN576_c0_g1,Helicase ARIP4 OS=Mus musculus GN=Rad54l2 PE=1 SV=1 E(blastx)=8e-06
TRINITY_DN33914_c0_g1,Ras-related protein Rab-4A OS=Rattus norvegicus GN=Rab4a PE=1 SV=3 E(blastx)=2e-21
TRINITY_DN36712_c0_g1,M-phase phosphoprotein 6 OS=Mus musculus GN=Mphosph6 PE=1 SV=1 E(blastx)=1e-24
TRINITY_DN32459_c0_g1,Probable ATP-dependent RNA helicase DDX5 OS=Macaca fascicularis GN=DDX5 PE=2 SV=1 E(blastx)=7e-27
TRINITY_DN34886_c0_g1,Low affinity immunoglobulin epsilon Fc receptor OS=Mus musculus GN=Fcer2 PE=1 SV=1 E(blastx)=1e-08
TRINITY_DN35442_c0_g1,Golgi resident protein GCP60 OS=Homo sapiens GN=ACBD3 PE=1 SV=4 E(blastx)=2e-10
TRINITY_DN24691_c0_g1,60S ribosomal protein L22 OS=Sus scrofa GN=RPL22 PE=1 SV=2 E(blastx)=1e-13
TRINITY_DN34402_c0_g1,Phosphorylated adapter RNA export protein OS=Rattus norvegicus GN=Phax PE=1 SV=2 E(blastx)=9e-20
TRINITY_DN33243_c0_g1,60S ribosomal protein L12 OS=Chinchilla lanigera GN=RPL12 PE=2 SV=1 E(blastx)=1e-25
TRINITY_DN34852_c0_g1,Polycomb protein Suz12 OS=Mus musculus GN=Suz12 PE=1 SV=2 E(blastx)=7e-14
TRINITY_DN7438_c1_g1,MBT domain-containing protein 1 OS=Xenopus tropicalis GN=mbtd1 PE=2 SV=1 E(blastx)=1e-44
TRINITY_DN28780_c0_g1,Protein archease OS=Mus musculus GN=Zbtb8os PE=1 SV=2 E(blastx)=2e-09
TRINITY_DN13187_c0_g1,FTS and Hook-interacting protein OS=Rattus norvegicus GN=Fam160a2 PE=1 SV=1 E(blastx)=2e-07
TRINITY_DN12226_c0_g1,Cystathionine beta-synthase OS=Rattus norvegicus GN=Cbs PE=1 SV=3 E(blastx)=1e-68
TRINITY_DN39777_c0_g1,"Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus GN=Sptan1 PE=1 SV=2 E(blastx)=7e-30"
TRINITY_DN27549_c0_g1,2-hydroxyacyl-CoA lyase 1 OS=Homo sapiens GN=HACL1 PE=1 SV=2 E(blastx)=2e-19
TRINITY_DN26515_c0_g1,Protein vav-1 OS=Caenorhabditis elegans GN=vav-1 PE=1 SV=1 E(blastx)=3e-12
TRINITY_DN34169_c0_g1,"Beta-1,3-glucan-binding protein OS=Penaeus monodon PE=2 SV=1 E(blastx)=2e-06"
TRINITY_DN22708_c0_g1,Sodium- and chloride-dependent glycine transporter 1 OS=Xenopus laevis GN=slc6a9 PE=2 SV=1 E(blastx)=1e-36
TRINITY_DN6808_c0_g1,60S ribosomal protein L36 OS=Ixodes scapularis GN=RpL36 PE=3 SV=1 E(blastx)=2e-14
TRINITY_DN33044_c0_g1,Lysine-specific histone demethylase 1A OS=Mus musculus GN=Kdm1a PE=1 SV=2 E(blastx)=5e-38
TRINITY_DN5055_c0_g1,S-methylmethionine--homocysteine S-methyltransferase BHMT2 OS=Homo sapiens GN=BHMT2 PE=1 SV=1 E(blastx)=3e-06
TRINITY_DN32335_c0_g1,Protein FAM161A OS=Xenopus tropicalis GN=fam161a PE=2 SV=1 E(blastx)=1e-07
TRINITY_DN3959_c0_g1,LisH domain-containing protein ARMC9 OS=Bos taurus GN=ARMC9 PE=2 SV=1 E(blastx)=3e-45
TRINITY_DN20804_c0_g1,Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1 E(blastx)=3e-06
TRINITY_DN3682_c0_g1,RWD domain-containing protein 1 OS=Rattus norvegicus GN=Rwdd1 PE=2 SV=1 E(blastx)=7e-17
TRINITY_DN34289_c0_g1,Homologous-pairing protein 2 homolog OS=Xenopus laevis GN=psmc3ip PE=2 SV=1 E(blastx)=2e-08
TRINITY_DN36372_c0_g1,Dynactin subunit 1 OS=Mus musculus GN=Dctn1 PE=1 SV=3 E(blastx)=1e-09
TRINITY_DN22744_c0_g1,Collectin-11 OS=Danio rerio GN=colec11 PE=2 SV=1 E(blastx)=2e-07
TRINITY_DN25195_c0_g1,Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1 E(blastx)=3e-25
TRINITY_DN31071_c0_g1,Pleiotropic regulator 1 OS=Bos taurus GN=PLRG1 PE=2 SV=1 E(blastx)=2e-09
TRINITY_DN27294_c0_g1,DNA helicase INO80 OS=Homo sapiens GN=INO80 PE=1 SV=2 E(blastx)=5e-22
TRINITY_DN33327_c0_g1,Tubulin beta chain (Fragment) OS=Lytechinus pictus PE=2 SV=1 E(blastx)=9e-10
TRINITY_DN13121_c0_g1,Retinoid isomerohydrolase OS=Gallus gallus GN=RPE65 PE=1 SV=1 E(blastx)=4e-22
TRINITY_DN11481_c0_g1,Sphingomyelin phosphodiesterase OS=Bos taurus GN=SMPD1 PE=2 SV=1 E(blastx)=2e-07
TRINITY_DN37997_c0_g1,Malate dehydrogenase OS=Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422) GN=mdh PE=3 SV=1 E(blastx)=7e-19
TRINITY_DN23708_c0_g1,26S protease regulatory subunit 8 OS=Drosophila melanogaster GN=Rpt6 PE=1 SV=2 E(blastx)=1e-15
TRINITY_DN6707_c0_g1,"Fucoxanthin-chlorophyll a-c binding protein, chloroplastic OS=Isochrysis galbana GN=FCP PE=1 SV=1 E(blastx)=2e-15"
TRINITY_DN35996_c0_g1,PiggyBac transposable element-derived protein 4 OS=Homo sapiens GN=PGBD4 PE=2 SV=3 E(blastx)=1e-09
TRINITY_DN5174_c0_g1,Eukaryotic translation initiation factor 5 OS=Homo sapiens GN=EIF5 PE=1 SV=2 E(blastx)=3e-12
TRINITY_DN35037_c0_g1,CCR4-NOT transcription complex subunit 4 OS=Mus musculus GN=Cnot4 PE=1 SV=2 E(blastx)=1e-78
TRINITY_DN948_c0_g1,Growth arrest-specific protein 8 OS=Mus musculus GN=Gas8 PE=1 SV=2 E(blastx)=3e-21
TRINITY_DN39252_c0_g1,Charged multivesicular body protein 4c OS=Danio rerio GN=chmp4c PE=2 SV=1 E(blastx)=1e-15
TRINITY_DN25732_c0_g1,Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1 E(blastx)=7e-10
TRINITY_DN38053_c0_g1,Proliferation-associated protein 2G4 OS=Rattus norvegicus GN=Pa2g4 PE=1 SV=1 E(blastx)=5e-21
TRINITY_DN39074_c0_g1,Nucleosome assembly protein 1-like 1 OS=Bos taurus GN=NAP1L1 PE=2 SV=1 E(blastx)=7e-54
TRINITY_DN11464_c0_g1,CREB-binding protein OS=Mus musculus GN=Crebbp PE=1 SV=3 E(blastx)=2e-30
TRINITY_DN13256_c0_g1,Rho GTPase-activating protein 23 OS=Homo sapiens GN=ARHGAP23 PE=1 SV=2 E(blastx)=1e-12
TRINITY_DN34969_c0_g1,Heterogeneous nuclear ribonucleoproteins A1 homolog OS=Xenopus laevis GN=hnrnpa1 PE=2 SV=1 E(blastx)=4e-35
TRINITY_DN31297_c0_g1,Diacylglycerol kinase theta OS=Mus musculus GN=Dgkq PE=1 SV=1 E(blastx)=4e-22
TRINITY_DN33258_c0_g1,Adenosylhomocysteinase OS=Bos taurus GN=AHCY PE=2 SV=3 E(blastx)=1e-33
TRINITY_DN27907_c0_g1,Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus GN=Syncrip PE=1 SV=2 E(blastx)=4e-44
TRINITY_DN11260_c0_g1,Ribose-5-phosphate isomerase OS=Mus musculus GN=Rpia PE=1 SV=2 E(blastx)=6e-27
TRINITY_DN25956_c0_g1,60S ribosomal protein L9 OS=Drosophila melanogaster GN=RpL9 PE=1 SV=2 E(blastx)=2e-21
TRINITY_DN36267_c0_g1,Probable protein disulfide-isomerase A4 OS=Caenorhabditis elegans GN=C14B9.2 PE=3 SV=2 E(blastx)=1e-07
TRINITY_DN889_c0_g1,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Rattus norvegicus GN=Magi1 PE=1 SV=1 E(blastx)=5e-22"
TRINITY_DN26372_c0_g1,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2 E(blastx)=4e-20
TRINITY_DN39383_c0_g1,Acyl-CoA desaturase 1 OS=Rattus norvegicus GN=Scd1 PE=1 SV=2 E(blastx)=1e-24
TRINITY_DN27184_c0_g1,Rho-related protein rac1B OS=Dictyostelium discoideum GN=rac1B PE=1 SV=2 E(blastx)=3e-54
TRINITY_DN16700_c0_g1,Coiled-coil domain-containing protein 97 OS=Homo sapiens GN=CCDC97 PE=1 SV=1 E(blastx)=4e-09
TRINITY_DN11038_c0_g1,Stress-induced-phosphoprotein 1 OS=Mus musculus GN=Stip1 PE=1 SV=1 E(blastx)=3e-22
TRINITY_DN30615_c0_g1,Coiled-coil domain-containing protein 113 OS=Danio rerio GN=ccdc113 PE=2 SV=1 E(blastx)=6e-13
TRINITY_DN38847_c0_g1,Protein FAM192A OS=Mus musculus GN=Fam192a PE=1 SV=1 E(blastx)=1e-11
TRINITY_DN31451_c0_g1,Transcriptional adapter 2-alpha OS=Rattus norvegicus GN=Tada2a PE=2 SV=1 E(blastx)=2e-07
TRINITY_DN31599_c0_g1,Structural maintenance of chromosomes protein 1A OS=Rattus norvegicus GN=Smc1a PE=1 SV=1 E(blastx)=2e-35
TRINITY_DN31300_c0_g1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Bombyx mori PE=1 SV=1 E(blastx)=8e-30
TRINITY_DN13551_c0_g1,Spindle and centriole-associated protein 1 OS=Xenopus laevis GN=spice1 PE=2 SV=1 E(blastx)=6e-06
TRINITY_DN4621_c0_g1,Protein canopy homolog 4 OS=Mus musculus GN=Cnpy4 PE=1 SV=1 E(blastx)=3e-51
TRINITY_DN20727_c0_g1,"Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1 E(blastx)=1e-17"
TRINITY_DN29546_c0_g1,Glutamate--cysteine ligase OS=Drosophila melanogaster GN=Gclc PE=2 SV=1 E(blastx)=1e-28
TRINITY_DN30142_c0_g1,E1A-binding protein p400 OS=Homo sapiens GN=EP400 PE=1 SV=4 E(blastx)=3e-23
TRINITY_DN8470_c0_g1,"Probable NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Caenorhabditis elegans GN=F53F4.10 PE=3 SV=1 E(blastx)=2e-30"
TRINITY_DN32168_c0_g1,Cyclin-dependent kinase 1-A OS=Xenopus laevis GN=cdk1-a PE=1 SV=1 E(blastx)=1e-23
TRINITY_DN217_c0_g1,Nuclear protein MDM1 OS=Homo sapiens GN=MDM1 PE=1 SV=2 E(blastx)=3e-07
TRINITY_DN27612_c0_g1,TATA box-binding protein-like protein 1 OS=Xenopus laevis GN=tbpl1 PE=2 SV=1 E(blastx)=5e-10
TRINITY_DN24813_c1_g1,Eukaryotic translation initiation factor 3 subunit C OS=Drosophila willistoni GN=eIF3-S8 PE=3 SV=1 E(blastx)=5e-26
TRINITY_DN31002_c0_g1,14-3-3 protein beta/alpha-A OS=Danio rerio GN=ywhaba PE=2 SV=2 E(blastx)=4e-56
TRINITY_DN16538_c0_g1,Collectin-11 OS=Xenopus laevis GN=colec11 PE=2 SV=1 E(blastx)=1e-05
TRINITY_DN16485_c0_g1,Glycine--tRNA ligase OS=Bombyx mori PE=1 SV=2 E(blastx)=8e-07
TRINITY_DN793_c0_g1,Scaffold attachment factor B2 OS=Mus musculus GN=Safb2 PE=1 SV=2 E(blastx)=9e-37
TRINITY_DN37014_c0_g1,Peptidyl-prolyl cis-trans isomerase A OS=Oryctolagus cuniculus GN=PPIA PE=2 SV=3 E(blastx)=2e-23
TRINITY_DN6722_c0_g1,Cofilin OS=Zygosaccharomyces rouxii GN=cof1 PE=2 SV=1 E(blastx)=3e-15
TRINITY_DN36326_c0_g1,Coiled-coil domain-containing protein 39 OS=Homo sapiens GN=CCDC39 PE=2 SV=3 E(blastx)=2e-41
TRINITY_DN25120_c0_g1,Thioredoxin-like protein 4A OS=Mus musculus GN=Txnl4a PE=1 SV=1 E(blastx)=6e-24
TRINITY_DN4270_c0_g1,Flap endonuclease 1 OS=Trichoplax adhaerens GN=FEN1 PE=3 SV=1 E(blastx)=3e-15
TRINITY_DN32811_c0_g1,X-ray repair cross-complementing protein 5 OS=Dictyostelium discoideum GN=ku80 PE=3 SV=1 E(blastx)=4e-13
TRINITY_DN13313_c0_g1,Cilia- and flagella-associated protein 44 OS=Chlamydomonas reinhardtii GN=CFAP44 PE=1 SV=1 E(blastx)=6e-12
TRINITY_DN6817_c0_g1,Small subunit processome component 20 homolog OS=Mus musculus GN=Utp20 PE=1 SV=2 E(blastx)=3e-07
TRINITY_DN28611_c0_g1,Cytochrome c oxidase subunit 6C OS=Bos taurus GN=COX6C PE=1 SV=2 E(blastx)=7e-12
TRINITY_DN22132_c0_g1,4-hydroxy-tetrahydrodipicolinate synthase OS=Symbiobacterium thermophilum (strain T / IAM 14863) GN=dapA PE=3 SV=1 E(blastx)=7e-05
TRINITY_DN14454_c0_g1,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens GN=UBR4 PE=1 SV=1 E(blastx)=8e-24
TRINITY_DN25451_c0_g1,60S ribosomal protein L35 OS=Rattus norvegicus GN=Rpl35 PE=1 SV=3 E(blastx)=3e-36
TRINITY_DN30113_c0_g1,Ran-specific GTPase-activating protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YRB1 PE=1 SV=1 E(blastx)=4e-05
TRINITY_DN25785_c0_g1,Tubulin alpha-1 chain (Fragment) OS=Gallus gallus PE=1 SV=1 E(blastx)=3e-131
TRINITY_DN28582_c0_g1,Protein tilB homolog OS=Xenopus tropicalis GN=lrrc6 PE=2 SV=1 E(blastx)=7e-105
TRINITY_DN33388_c0_g1,Protein TAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAR1 PE=2 SV=1 E(blastx)=1e-05
TRINITY_DN24416_c0_g1,60S acidic ribosomal protein P0 OS=Rana sylvatica GN=RPLP0 PE=2 SV=1 E(blastx)=4e-83
TRINITY_DN33922_c0_g1,Prostaglandin reductase-3 OS=Mus musculus GN=Zadh2 PE=1 SV=1 E(blastx)=9e-11
TRINITY_DN25549_c0_g1,40S ribosomal protein S16 OS=Spodoptera frugiperda GN=RpS16 PE=2 SV=1 E(blastx)=2e-18
TRINITY_DN32126_c0_g1,Mitochondrial pyruvate carrier 2 OS=Homo sapiens GN=MPC2 PE=1 SV=1 E(blastx)=3e-14
TRINITY_DN4625_c0_g1,Protein Peter pan OS=Drosophila melanogaster GN=ppan PE=1 SV=1 E(blastx)=9e-09
TRINITY_DN924_c0_g1,Y-box factor homolog OS=Aplysia californica PE=2 SV=1 E(blastx)=2e-10
TRINITY_DN16891_c0_g1,Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1 PE=1 SV=1 E(blastx)=2e-39
TRINITY_DN37256_c0_g1,Dynein light chain roadblock-type 2 OS=Bos taurus GN=DYNLRB2 PE=3 SV=1 E(blastx)=3e-14
TRINITY_DN26008_c0_g1,RNA-directed DNA polymerase from mobile element jockey OS=Drosophila melanogaster GN=pol PE=1 SV=1 E(blastx)=5e-08
TRINITY_DN11220_c0_g1,Sarcolemmal membrane-associated protein OS=Oryctolagus cuniculus GN=SLMAP PE=1 SV=2 E(blastx)=1e-29
TRINITY_DN33325_c0_g1,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Candida tropicalis GN=IDP1 PE=3 SV=1 E(blastx)=1e-14"
TRINITY_DN25520_c0_g1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Drosophila melanogaster GN=l(2)k12914 PE=3 SV=1 E(blastx)=2e-26
TRINITY_DN5229_c0_g1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase OS=Urechis caupo PE=2 SV=1 E(blastx)=3e-56
TRINITY_DN34299_c0_g1,Splicing factor 3A subunit 1 OS=Bos taurus GN=SF3A1 PE=2 SV=1 E(blastx)=5e-27
TRINITY_DN21340_c0_g1,Adenylate kinase isoenzyme 5 OS=Bos taurus GN=Ak5 PE=2 SV=1 E(blastx)=4e-08
TRINITY_DN27302_c0_g1,Protein BOLA2 OS=Arabidopsis thaliana GN=BOLA2 PE=1 SV=1 E(blastx)=4e-14
TRINITY_DN22872_c0_g1,DnaJ homolog subfamily C member 21 OS=Danio rerio GN=dnajc21 PE=2 SV=1 E(blastx)=1e-41
TRINITY_DN7160_c0_g1,ADP-ribosylation factor-like protein 5 OS=Dictyostelium discoideum GN=arl5 PE=3 SV=1 E(blastx)=1e-05
TRINITY_DN333_c0_g1,Dual specificity testis-specific protein kinase 2 OS=Homo sapiens GN=TESK2 PE=1 SV=1 E(blastx)=5e-10
TRINITY_DN433_c0_g1,Nucleoporin NUP53 OS=Mus musculus GN=Nup35 PE=1 SV=2 E(blastx)=3e-40
TRINITY_DN17981_c0_g1,Activator of 90 kDa heat shock protein ATPase homolog 2 OS=Mus musculus GN=Ahsa2 PE=1 SV=2 E(blastx)=1e-10
TRINITY_DN38298_c0_g1,Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens GN=PRPF40A PE=1 SV=2 E(blastx)=2e-24
TRINITY_DN26352_c0_g1,"Aconitate hydratase, mitochondrial OS=Bos taurus GN=ACO2 PE=1 SV=4 E(blastx)=6e-12"
TRINITY_DN477_c0_g1,Rho-associated protein kinase 2 OS=Mus musculus GN=Rock2 PE=1 SV=1 E(blastx)=4e-12
